Year,Month,Day,Variable,eco1,eco2
2016,3,25,PAR,517.4122355,1034.824471
2016,3,26,PAR,505.2941113,1010.588223
2016,3,27,PAR,456.0184196,912.0368392
2016,3,28,PAR,551.7289884,1103.457977
2016,3,29,PAR,532.8821571,1065.764314
2016,3,30,PAR,611.8161473,1223.632295
2016,3,31,PAR,546.1682747,1092.336549
2016,4,1,PAR,442.0089523,884.0179046
2016,4,2,PAR,432.741494,865.482988
2016,4,3,PAR,481.4017807,962.8035614
2016,4,4,PAR,460.4731402,920.9462804
2016,4,5,PAR,488.3482211,976.6964422
2016,4,6,PAR,450.1877314,900.3754628
2016,4,7,PAR,488.7198682,977.4397364
2016,4,8,PAR,553.6009587,1107.201917
2016,4,9,PAR,606.7288823,1213.457765
2016,4,10,PAR,580.9738523,1161.947705
2016,4,11,PAR,538.9756254,1077.951251
2016,4,12,PAR,475.1807569,950.3615138
2016,4,13,PAR,511.6958535,1023.391707
2016,4,14,PAR,534.8027963,1069.605593
2016,4,15,PAR,478.9799471,957.9598942
2016,4,16,PAR,454.2556872,908.5113744
2016,4,17,PAR,466.8999913,933.7999826
2016,4,18,PAR,600.8271891,1201.654378
2016,4,19,PAR,637.0293247,1274.058649
2016,4,20,PAR,576.6169082,1153.233816
2016,4,21,PAR,592.1659798,1184.33196
2016,4,22,PAR,638.9494661,1277.898932
2016,4,23,PAR,566.4689755,1132.937951
2016,4,24,PAR,625.9072543,1251.814509
2016,4,25,PAR,734.5976961,1469.195392
2016,4,26,PAR,606.2499767,1212.499953
2016,4,27,PAR,586.7250647,1173.450129
2016,4,28,PAR,678.5548959,1357.109792
2016,4,29,PAR,774.2880306,1548.576061
2016,4,30,PAR,769.4542554,1538.908511
2016,5,1,PAR,575.7319905,1151.463981
2016,5,2,PAR,654.1950943,1308.390189
2016,5,3,PAR,671.6541877,1343.308375
2016,5,4,PAR,675.9129184,1351.825837
2016,5,5,PAR,406.7623994,813.5247988
2016,5,6,PAR,574.7547196,1149.509439
2016,5,7,PAR,705.804153,1411.608306
2016,5,8,PAR,704.3507251,1408.70145
2016,5,9,PAR,573.3433305,1146.686661
2016,5,10,PAR,459.4462805,918.892561
2016,5,11,PAR,732.135784,1464.271568
2016,5,12,PAR,575.8122622,1151.624524
2016,5,13,PAR,562.9674393,1125.934879
2016,5,14,PAR,661.6961441,1323.392288
2016,5,15,PAR,748.5579855,1497.115971
2016,5,16,PAR,641.5812995,1283.162599
2016,5,17,PAR,648.5664718,1297.132944
2016,5,18,PAR,675.4145176,1350.829035
2016,5,19,PAR,633.2322089,1266.464418
2016,5,20,PAR,683.5376481,1367.075296
2016,5,21,PAR,635.4745186,1270.949037
2016,5,22,PAR,692.450006,1384.900012
2016,5,23,PAR,599.6571936,1199.314387
2016,5,24,PAR,544.7832361,1089.566472
2016,5,25,PAR,682.7668272,1365.533654
2016,5,26,PAR,699.3332145,1398.666429
2016,5,27,PAR,556.4820298,1112.96406
2016,5,28,PAR,445.6759806,891.3519612
